codecamp,EN,GR
K01,Eleonas,Ελαιώνας
K02,Elliniko – hockey,Ελληνικό – χόκεϋ
K03,Elliniko – baseball,Ελληνικό – baseball
K04,Elliniko – arrivals section,Ελληνικό – αφίξεις
K05,Malakasa,Μαλακάσα
K06,Lavrio (asylum seeker centre),Λαύριο (Δομή φιλοξενίας αιτούντων άσυλο)
K07,Thessaloniki port,Λιμάνι Θεσσαλονίκης
K08,Diavata,Διαβατά (Στρατόπεδο Αναγνωστοπούλου)
K09,Cherso,Χέρσο (Στρατόπεδο Μαζαράκη)
K10,Drama,Δράμα
K11,Larisa (Koutsohero),Λάρισα Κουτσόχερο (Στρατόπεδο Ευθυμιοπούλου)
K12,Thermopiles,Θερμοπύλες
K13,Andravida – Myrsini,Ανδραβίδα - Μυρσίνη
K14,Filipiada,Φιλιππιάδα (Στρατόπεδο Πετρουλάκη)
K15,Lesvos (Moria),ΛΕΣΒΟΣ (Κέντρο φιλοξενίας Μόρια)
K16,Samos,ΣΑΜΟΣ-ΚΕΠΥ
K17,Lavrio (Agrotiki bank camp),Λαύριο Κατασκήνωση Αγροτικής Τράπεζας
K18,Schisto,Σχιστό
K19,Skaramangas dock,Προβλήτα Σκαραμαγκά
K20,Giannitsa,Γιαννιτσά
K21,Alexandreia,Αλεξάνδρεια (Στρατ. Γ. Πελάγου)
K22,Veria,Βέροια (Στρατ. Αρματωλού Κόκκινου Ημαθίας)
K23,Polikastro (Nea Kavala),Πολύκαστρο (Νέα Καβάλα)
K24,Chios,Χίος
K25,Leros,Λέρος
K26,Kos,Κως
K30,Agios Andreas,Αγιος Ανδρέας
K32,Ritsona,Ριτσώνα (Στρ. ΠΑ)
K33,Oinofyta,Οινόφυτα
K34,Volos,Βόλος
K35,Lagkadikia,Λαγκαδίκια (Στρ. Βογιατζόγλου) UNHCR
K36,Oraiokastro,Ωραιόκαστρο
K38,Chalkero,Χαλκερό (Δ. Καβάλας)
K39,Konitsa,Κόνιτσα
K41,Sindos – Frakapor,Σίνδος Frakapor
K42,Pieria (Orfeas Hotel),Golden City (πρώην ΟΡΦΕΑΣ)
K43,Pieria (Iraklis Estate),Πιερία (Κτήμα ΗΡΑΚΛΗΣ)
K44,Pieria (Petra Olympou),Πιερία (Πέτρα Ολύμπου)
K45,Doliana,Δολιανά
K46,Katsikas,Κάτσικας
K47,Tsepelovo,Τσεπέλοβο
K48,Kalochori,Καλοχώρι Ηλιάδη
K49,Sindos – Karamanli,Σίνδος (Κτήριο Καραμανλή)
K50,Derveni – Alexil,Δερβένι Alexil
K51,Softex,Softex
K53,Sinatex – Kavalari,Sinatex Καβαλάρι
K56,Vasilika – Kordogianni Estate,Βασιλικά – Κτήμα Κορδογιάννη
